name,date,location,start,end,host,linkname,link
Delicious in Dungeon,3-Jul,Site #4,10:00 AM,11:00 AM,Gintaman,Discord,https://discord.gg/YQayPUqxzw#
Dr. Stone,3-Jul,Site #6,10:00 AM,11:00 AM,ang,Discord,https://www.instagram.com/howobnoctis/#
Deltarune and Undertale!!,3-Jul,Site #1,11:00 AM,12:00 PM,Avi,Discord,https://discord.gg/mzy5eXgTCA#
Sakurazaka46,3-Jul,Site #2,11:00 AM,12:00 PM,Sakuzaka Central,Discord,https://discord.gg/XfSRaNgUDZ#
Link Click,3-Jul,Site #3,11:00 AM,12:00 PM,AriaXaia,Discord,https://discord.gg/qtjHGKbF#
Project Sekai,3-Jul,Site #5,11:00 AM,12:00 PM,Tray,Instagram,https://www.instagram.com/bad.dog.cosplay/#
Obey Me!,3-Jul,Site #6,11:00 AM,12:00 PM,Zuly,Discord,https://discord.gg/b7JjXmDeFR#
Super Smash Bros.,3-Jul,Site #7,11:00 AM,12:00 PM,Jesus Vargas,Discord,https://discord.gg/6EVcFAznQZ#
Girls Band,3-Jul,Site #1,12:00 PM,1:00 PM,Girls band,Discord,https://discord.gg/mCF9X778fP#
Danganronpa Series,3-Jul,Site #2,12:00 PM,1:00 PM,Reid Lane,Discord,https://discord.gg/TSbt9MvKaV#
Fullmetal Alchemist,3-Jul,Site #3,12:00 PM,1:00 PM,Megan,Discord,https://discord.gg/G7PYWZRJ3c#
Chainsaw Man,3-Jul,Site #4,12:00 PM,1:00 PM,Tsukasa_cos,Discord,https://discord.gg/hxUmpJG8#
Bunny Girls (Theme),3-Jul,Site #5,12:00 PM,1:00 PM,BC & JW,Discord,https://discord.gg/sa7tqDkvMX#
Bocchi the Rock,3-Jul,Site #6,12:00 PM,1:00 PM,Alexis H.,Discord,https://discord.gg/NZzkg65s#
Omori,3-Jul,Site #7,12:00 PM,1:00 PM,DrippyBagel,Disscord,https://discord.gg/3JTePt4mbq#
Hetalia,3-Jul,Site #1,1:00 PM,2:00 PM,Venus,Discord,https://discord.gg/rvZWHFyubd#
Sakamoto Days,3-Jul,Site #2,1:00 PM,2:00 PM,Jason Kim,Discord,https://discord.gg/TNRRFNnnJx#
Honkai StarRail,3-Jul,Site #3,1:00 PM,2:00 PM,Erina,Discord,https://discord.gg/PwVfxdaY#
Sailor Moon,3-Jul,Site #4,1:00 PM,2:00 PM,Sailor Mikey,Discord,https://discord.gg/4VcChA7JKt#
CLAMP,3-Jul,Site #5,1:00 PM,2:00 PM,Kyle Jonathan Chang,Facebook,https://facebook.com/events/s/clamp-cosaply-gathering-anime-/1646741446193180/#
Pretty Cure,3-Jul,Site #6,1:00 PM,2:00 PM,Bebbleous,Instagram,https://www.instagram.com/bebbleous?igsh=NTc4MTIwNjQ2YQ%3D%3D&utm_source=qr#
My Hero Academia,3-Jul,Site #7,1:00 PM,2:00 PM,Andy Ton,Facebook,https://www.facebook.com/events/1760605427833831/?acontext=%7B%22event_action_history%22%3A%5b%7B%22extra_data%22%3A%22%22%2C%22mechanism%22%3A%22surface%22%2C%22surface%22%3A%22edit_dialog%22%7D%2C%7B%22extra_data%22%3A%22%22%2C%22mechanism%22%3A%22surface%22%2C%22surface%22%3A%22permalink%22%7D%2C%7B%22extra_data%22%3A%22%22%2C%22mechanism%22%3A%22surface%22%2C%22surface%22%3A%22edit_dialog%22%7D%5d%2C%22ref_notif_type%22%3Anull%7D#
Smiling Friends,3-Jul,Site #1,2:00 PM,3:00 PM,Joshua Beckman,Discord,https://discord.gg/HNtRHSeyhQ#
07th Expansion,3-Jul,Site #2,2:00 PM,3:00 PM,BonanaBun,Discord,https://discord.gg/4qQSY4ZsGT#
Attack on Titan,3-Jul,Site #3,2:00 PM,3:00 PM,James Truong,Discord,https://discord.gg/thJrJ4KNCU#
Cookie Run: Kingdom,3-Jul,Site #4,2:00 PM,3:00 PM,Valentine (@sunnycatalyst),Discord,https://discord.gg/YwYgx9c75w#
The Guy She Was Interested in Wasn't a Guy at all,3-Jul,Site #5,2:00 PM,3:00 PM,Savi/Nana,Discord,https://discord.gg/pKZsWhbKAX#
Infinity Nikki,3-Jul,Site #6,2:00 PM,3:00 PM,Nephrite,Discord,https://discord.gg/JjBcPNEmfM#
Zenless Zone Zero,3-Jul,Site #7,2:00 PM,3:00 PM,Andrew,Discord,https://discord.gg/ZQzEGMVkmt#
Fruits Basket,3-Jul,Site #1,3:00 PM,4:00 PM,Kg_Cozplay,Facebook,https://facebook.com/events/s/fruits-basket-gathering-at-ax-/627640400102207/?mibextid=wwXIfr#
Bang Dream,3-Jul,Site #2,3:00 PM,4:00 PM,Hyukjin Mun,Discord,https://discord.gg/FpDE7sGnu5#
Spy x Family,3-Jul,Site #3,3:00 PM,4:00 PM,acslayer98_cosplay,Discord,https://discord.gg/mrpJKe6TA6#
Everyone’s an Idol,3-Jul,Site #4,3:00 PM,4:00 PM,LA Idol Matsuri,Discord,https://discord.gg/eunja6e3Gn#
Yakuza/Like a Dragon,3-Jul,Site #5,3:00 PM,4:00 PM,Corvo Cosplay,Instagram,https://www.instagram.com/corvo_cosplay?igsh=NTc4MTIwNjQ2YQ%3D%3D&utm_source=qr#
Object Show Community,3-Jul,Site #6,3:00 PM,4:00 PM,StaariKnight,Discord,https://discord.gg/ymJG6snR#
Fate Grand Order,3-Jul,Site #7,3:00 PM,4:00 PM,Andy Ton,Facebook,https://www.facebook.com/events/654885960697915/?acontext=%7B%22event_action_history%22%3A%5b%7B%22extra_data%22%3A%22%22%2C%22mechanism%22%3A%22surface%22%2C%22surface%22%3A%22edit_dialog%22%7D%2C%7B%22extra_data%22%3A%22%22%2C%22mechanism%22%3A%22left_rail%22%2C%22surface%22%3A%22bookmark%22%7D%2C%7B%22extra_data%22%3A%22%22%2C%22mechanism%22%3A%22surface%22%2C%22surface%22%3A%22create_dialog%22%7D%5d%2C%22ref_notif_type%22%3Anull%7D&onload_action=open_invite_flow&show_created_event_toast=true#
Neon Genesis Evangelion,3-Jul,Site #1,4:00 PM,5:00 PM,Helium2,Discord,https://discord.gg/FPJBeUCETA#
Frieren,3-Jul,Site #2,4:00 PM,5:00 PM,InabasFinest,Discord,https://discord.gg/eUSJrHC6#
MXTX,3-Jul,Site #3,4:00 PM,5:00 PM,Wren & Ciel,Discord,https://discord.gg/Pm7hs5hBfD#
DanDaDan,3-Jul,Site #4,4:00 PM,5:00 PM,Rina Xavier,Discord,https://discord.com/channels/1334234696489631849/1334234697701658727#
Monster Hunter,3-Jul,Site #5,4:00 PM,5:00 PM,Corvo Cosplay,Instagram,https://www.instagram.com/corvo_cosplay?igsh=NTc4MTIwNjQ2YQ%3D%3D&utm_source=qr#
Yu-Gi-Oh!,3-Jul,Site #6,4:00 PM,5:00 PM,Corcra Cosplay,Discord,https://discord.gg/nK5GKh233t#
Dragon Ball,3-Jul,Site #7,4:00 PM,5:00 PM,Andy Ton,Facebook,https://www.facebook.com/events/1094514729357120/?acontext=%7B%22event_action_history%22%3A%5b%7B%22extra_data%22%3A%22%22%2C%22mechanism%22%3A%22surface%22%2C%22surface%22%3A%22create_dialog%22%7D%2C%7B%22extra_data%22%3A%22%22%2C%22mechanism%22%3A%22left_rail%22%2C%22surface%22%3A%22bookmark%22%7D%2C%7B%22extra_data%22%3A%22%22%2C%22mechanism%22%3A%22surface%22%2C%22surface%22%3A%22create_dialog%22%7D%5d%2C%22ref_notif_type%22%3Anull%7D&onload_action=open_invite_flow&show_created_event_toast=true#
TooKyo Games / Uchikoshi /Kodaka,3-Jul,Site #1,5:00 PM,6:00 PM,Sketch,Discord,https://discord.gg/VSwvtyqHQc#
Call Of Duty,3-Jul,Site #3,5:00 PM,6:00 PM,@gothygraves,Discord,https://discord.gg/xfMyjxaT#
Fire Emblem,3-Jul,Site #2,5:00 PM,6:00 PM,milkyy_cos,Discord,https://discord.gg/aHVN6rAe#
Haikyuu!,3-Jul,Site #4,5:00 PM,6:00 PM,purplingsues,Instagram,https://www.instagram.com/p/DJijrqDR5ku/?igsh=NTc4MTIwNjQ2YQ==#
Fighting Games,3-Jul,Site #5,5:00 PM,6:00 PM,Anthony Cabales,Discord,https://discord.gg/bQZEBVKz#
Shoujo Animanga,3-Jul,Site #6,5:00 PM,6:00 PM,22.7a,Discord,https://discord.gg/3p3ZhsdSEy#
iDOLM@STER,3-Jul,Site #7,5:00 PM,6:00 PM,Edwin Tran,Discord,https://discord.gg/SQGJhc4Twa#
Visual Prison,3-Jul,Site #1,6:00 PM,7:00 PM,Io,Discord,https://discord.gg/CmmsU5mGG8#
"80s, 90s & 2000s Anime Cosplay Gathering",3-Jul,Site #3,6:00 PM,7:00 PM,ashketchumfan1998,Facebook,https://facebook.com/events/s/80s-90s-and-2000s-anime-cospla/1712578766131796/#
ATLUS Games,3-Jul,Site #5,6:00 PM,7:00 PM,@that_one_junpei_cosplay_guy,Facebook,https://facebook.com/events/s/atlus-gathering-anime-expo/1785478222392560/?mibextid=Gg3lNB#
Sasaki and Miyano/Hirano and Kagiura,3-Jul,Site #6,6:00 PM,7:00 PM,ssmykghrevents,Instagram,https://www.instagram.com/ssmykghrevents#
